ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"98.162.25.29","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","31679","socks4","N/A","5002","2022-06-30T01:37:08.827Z"
"192.158.15.201","elite","AS40028","CA","Ontario Inc.","N/A","UNIXCHOSTING.COM","50877","socks4","N/A","3118","2022-06-30T01:36:43.567Z"
"91.194.239.122","elite","AS43400","UA","TOV NEO-TELECOM","77","TOV NEO-TELECOM","5678","socks4","N/A","1675","2022-06-30T01:36:25.293Z"
"85.114.112.86","elite","AS42314","PS","fusion services","N/A","Fusion Services","5678","socks4","N/A","248","2022-06-30T01:36:12.883Z"
"89.96.53.5","elite","AS12874","IT","Fastweb Networks","36","N/A","1088","socks4","N/A","195","2022-06-30T01:36:00.235Z"
"94.240.24.91","elite","AS47223","PL","LUKMAN-PLRADIOLLU","39","LukMAN","5678","socks4","N/A","5002","2022-06-30T01:35:59.541Z"
"84.22.45.175","elite","AS33983","AL","Artmotion Sh.P.K.","44","Artmotion","1080","socks4","N/A","190","2022-06-30T01:35:43.829Z"
"212.80.218.216","elite","AS50673","NL","Serverius Holding B.V.","11","Serverio technologijos MB","9050","socks4","N/A","5001","2022-06-30T01:35:38.672Z"
"98.170.57.231","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","4145","socks4","N/A","5002","2022-06-30T01:35:28.692Z"
"89.161.90.225","elite","AS39375","PL","Telekomunikacja Podlasie Sp. z o.o.","32","Telekomunikacja Podlasie sp. z o.o.","5678","socks4","N/A","72","2022-06-30T01:35:11.729Z"
"91.186.102.169","elite","AS42087","RU","MTS PJSC","114","CJSC Cannel-7","1080","socks4","N/A","6260","2022-06-30T01:35:07.964Z"
"190.84.31.74","elite","AS14080","CO","Telmex Colombia S.A.","153","Telmex Colombia S.A","4673","socks4","N/A","5001","2022-06-30T01:34:56.626Z"
"191.209.21.52","elite","AS27699","BR","Vivo","207","TELEF�NICA BRASIL S.A","31337","socks4","N/A","5002","2022-06-30T01:34:49.040Z"
"80.75.19.170","elite","AS206283","DE","Star Satellite Communications Company - PJSC","587","Star Satellite Communications Company Pjsc","5678","socks4","N/A","718","2022-06-30T01:34:41.940Z"
"188.95.20.138","elite","AS198471","IT","Linkem IR WiMAX Network","38","N/A","5678","socks4","N/A","5003","2022-06-30T01:34:38.239Z"
"193.105.62.11","elite","AS196906","UA","PE Brunarsky Andrey Romanovich","51","PE Brunarsky Andrey Romanovich","58973","socks4","N/A","95","2022-06-30T01:34:30.794Z"
"86.110.189.118","elite","AS15774","RU","Rostov-On-Don Network","76","ZAO Electro-Com Don P2P Customers","42539","socks4","N/A","345","2022-06-30T01:34:22.857Z"
"87.247.40.2","elite","AS21299","KZ","Kar-Tel LLC","122","2Day Telecom","5678","socks4","N/A","5001","2022-06-30T01:34:18.140Z"
"91.121.210.56","elite","AS16276","FR","OVH SAS","30","OVH ISP","54343","socks4","N/A","7511","2022-06-30T01:34:10.622Z"
"79.124.23.9","elite","AS57344","BG","Telehouse EAD","39","Rokada","4153","socks4","N/A","5001","2022-06-30T01:33:57.732Z"
"98.188.47.150","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","4145","socks4","N/A","5001","2022-06-30T01:33:50.286Z"
"216.215.125.182","elite","AS11215","US","Logix","N/A","Texas EYE Institute","48324","socks4","N/A","5000","2022-06-30T01:33:33.453Z"
"182.160.121.99","elite","AS24323","BD","Aamra Networks Limited","180","N/A","10800","socks4","N/A","714","2022-06-30T01:33:11.386Z"
"190.171.141.35","elite","AS16629","CL","CTC. CORP S.A. (TELEFONICA EMPRESAS)","207","CTC. CORP S.A. (TELEFONICA EMPRESAS)","5678","socks4","N/A","846","2022-06-30T01:33:07.417Z"
"192.111.138.29","elite","AS46562","US","Total Server Solutions L.L.C.","N/A","CreeperHost LTD","4145","socks4","N/A","5001","2022-06-30T01:33:03.931Z"
"186.5.205.1","elite","AS27997","AR","Coop. Ltda de Electricidad y Servicios Anexos de Huinca Renancó","237","Coop. Ltda de Electricidad y Servicios Anexos de Huinca Renancó","54321","socks4","N/A","5001","2022-06-30T01:32:48.181Z"
"91.222.113.175","elite","AS50401","UA","LLC LANTRACE","41","Lantrace LLC","5678","socks4","N/A","83","2022-06-30T01:32:37.803Z"
"85.112.95.42","elite","AS39010","LB","TerraNet sal","59","N/A","4153","socks4","N/A","252","2022-06-30T01:32:32.814Z"
"64.119.31.178","elite","AS17882","MN","MCS Com Co Ltd","209","Univision LLC","5678","socks4","N/A","5002","2022-06-30T01:32:25.736Z"
"103.94.133.90","elite","AS136128","ID","PT CITRA AKSES INDONUSA","162","PT CITRA AKSES INDONUSA","4153","socks4","N/A","652","2022-06-30T01:32:16.852Z"
"213.32.253.117","elite","AS206206","IQ","Kurdistan Net Company for Computer and Internet Ltd.","79","Exabyt","52396","socks4","N/A","337","2022-06-30T01:32:13.620Z"
"202.59.133.62","elite","AS38017","BD","Square InformatiX Ltd","156","Hobigonj POP","5678","socks4","N/A","5002","2022-06-30T01:32:10.798Z"
"203.142.83.43","elite","AS17451","ID","BIZNET","186","N/A","4153","socks4","N/A","3826","2022-06-30T01:32:03.913Z"
"178.76.254.130","elite","AS15774","RU","Electro-com Rostov","71","ZAO \"Electro-Com Don\"","4145","socks4","N/A","5002","2022-06-30T01:31:57.509Z"
"221.226.74.43","elite","AS4134","CN","CHINANET jiangsu province network","253","N/A","8082","socks4","N/A","5002","2022-06-30T01:31:50.032Z"
"89.252.12.123","elite","AS31148","UA","FREENET","37","N/A","5678","socks4","N/A","5001","2022-06-30T01:31:34.580Z"
"79.0.251.45","elite","AS3269","IT","Telecom Italia S.p.A. TIN EASY LITE","45","INTERBUSINESS","4153","socks4","N/A","204","2022-06-30T01:31:19.020Z"
"88.119.128.181","elite","AS8764","LT","Telia Lietuva","37","Telia Lietuva, AB","4145","socks4","N/A","184","2022-06-30T01:31:13.589Z"
"62.85.224.217","elite","AS8968","IT","BT Italia S.p.A.","45","Molitel SRL","5678","socks4","N/A","622","2022-06-30T01:31:08.205Z"
"77.65.131.188","elite","AS202228","PL","Krzysztof Jan Klaptocz trading as Netservice","36","Netservice","4145","socks4","N/A","5002","2022-06-30T01:31:05.119Z"
"45.14.36.146","elite","AS208881","BA","\"Formea\" drustvo za trgovinu","50","\"Formea\" drustvo za trgovinu, informaticki inzenjering i konsalting d.o.o. Visoko","5678","socks4","N/A","92","2022-06-30T01:30:57.082Z"
"213.6.144.78","elite","AS12975","PS","Palestine Telecommunications Company","56","Palestine Telecommunications Company","4153","socks4","N/A","5002","2022-06-30T01:30:54.529Z"
"203.76.124.138","elite","AS23688","BD","Link3 Technologies Limited","N/A","Corporate Subscriber","5678","socks4","N/A","5001","2022-06-30T01:30:45.912Z"
