link,Product Name,Variant,Stock Availability,Pricing,Category
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Black ,7,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,White ,0,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Grey ,8,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Blue ,113,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-e9lp-stereo-earphone-original-by-sony-malaysia-i1766622886.html,Sony MDR-E9LP Stereo Earphone (Original) by Sony Malaysia,Pink ,139,RM30.00,In-Ear Headphones
https://www.lazada.com.my/products/sandisk-cruzer-glide-cz600-16gb32gb64gb128gb-m30-150mbs-usb-flash-drive-pendrive-originalsandisk-cruzer-blade-16gb-usb-flash-drive-20-electric-pink-original-5-year-warranty-i2870869475.html,SanDisk Cruzer Glide CZ600 16GB/32GB/64GB/128GB m3.0 150MB/s USB Flash Drive/ Pendrive (Original)SanDisk Cruzer Blade 16GB USB Flash Drive 2.0 - Electric Pink (Original) 5 Year Warranty,,5,RM28.00,Flash Drives
https://www.lazada.com.my/products/sony-mdr-ex15ap-earphone-headphone-original-by-sony-malaysia-i1774914644.html,Sony MDR-EX15AP Earphone / Headphone (Original) by Sony Malaysia,White ,5,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-ex15ap-earphone-headphone-original-by-sony-malaysia-i1774914644.html,Sony MDR-EX15AP Earphone / Headphone (Original) by Sony Malaysia,Black ,8,RM63.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-sf-4n4-4gb-sdhcsdxc-memory-card-original-i2769110178.html,Sony SF-4N4 4GB SDHC/SDXC Memory Card (Original),Not Specified 4GB ,10,RM26.00,SD Cards
https://www.lazada.com.my/products/sandisk-extreme-64gb-160mbs-microsd-card-for-mobile-gaming-original-10-years-warranty-i2845979327.html,SanDisk Extreme 64GB 160MB/s microSD Card for Mobile Gaming (Original) 10 Years Warranty,,3,RM64.00,SD Cards
https://www.lazada.com.my/products/realme-smart-band-green-colour-original-1-year-warranty-by-realme-malaysia-i1873730931.html,Realme Smart Band Green Colour (Original) 1 Year Warranty by Realme Malaysia,Green ,1,RM129.00,Smartwatches
https://www.lazada.com.my/products/ready-stock-sony-wh-1000xm5-wireless-noise-canceling-headphones-original-from-sony-malaysia-i2987770270.html,[READY STOCK] Sony WH-1000XM5 Wireless Noise-Canceling Headphones (Original) from Sony Malaysia,Black ,4,RM1799.00,Over-The-Ear Headphones
https://www.lazada.com.my/products/ready-stock-sony-wh-1000xm5-wireless-noise-canceling-headphones-original-from-sony-malaysia-i2987770270.html,[READY STOCK] Sony WH-1000XM5 Wireless Noise-Canceling Headphones (Original) from Sony Malaysia,Silver ,3,RM1799.00,Over-The-Ear Headphones
https://www.lazada.com.my/products/sony-mdr-ex15lp-white-in-ear-headphones-mdr-ex15lpw-original-1-year-warranty-by-sony-malaysia-i1727182947.html,Sony MDR-EX15LP White In-Ear Headphones MDR-EX15LP/W (Original) 1 Year Warranty By Sony Malaysia,White ,9,RM39.00,In-Ear Headphones
https://www.lazada.com.my/products/sony-wi-c400-black-wireless-in-ear-headphones-wi-c400b-original-from-sony-malaysia-i2034201784.html,Sony WI-C400 Black Wireless In-ear Headphones WI-C400/B (Original) from Sony Malaysia,Black ,2,RM279.00,In-Ear Headphones
https://www.lazada.com.my/products/sandisk-ultra-shift-usb-30-100mbs-flash-drive-thumb-drive-pendrive-original-i2631005011.html,SanDisk Ultra Shift USB 3.0 100MB/s Flash Drive / Thumb Drive / PenDrive (Original),Black 32GB ,9,RM59.00,OTG Drives
